src_pe =           1, dst_pe =           9, direction = 00,  hop count = 000011, packet = 03190 at time 34ns
src_pe =           6, dst_pe =           9, direction = 00,  hop count = 001001, packet = 09690 at time 34ns
src_pe =          10, dst_pe =           8, direction = 00,  hop count = 011000, packet = 18a80 at time 34ns
src_pe =          14, dst_pe =           8, direction = 01,  hop count = 011001, packet = 59e80 at time 34ns
src_pe =           0, dst_pe =           9, direction = 10,  hop count = 001011, packet = 8b090 at time 36ns
src_pe =           7, dst_pe =           9, direction = 00,  hop count = 011001, packet = 19790 at time 36ns
src_pe =          11, dst_pe =           8, direction = 00,  hop count = 111000, packet = 38b80 at time 36ns
src_pe =          15, dst_pe =           8, direction = 01,  hop count = 111001, packet = 79f80 at time 36ns
src_pe =           5, dst_pe =          10, direction = 10,  hop count = 001001, packet = 895a0 at time 36ns
src_pe =           2, dst_pe =          10, direction = 00,  hop count = 000011, packet = 032a0 at time 36ns
src_pe =           4, dst_pe =           9, direction = 10,  hop count = 001001, packet = 89490 at time 38ns
src_pe =           9, dst_pe =          10, direction = 10,  hop count = 001000, packet = 889a0 at time 38ns
src_pe =          13, dst_pe =           9, direction = 01,  hop count = 000001, packet = 41d90 at time 38ns
src_pe =           3, dst_pe =           9, direction = 00,  hop count = 011011, packet = 1b390 at time 38ns
src_pe =           1, dst_pe =          10, direction = 10,  hop count = 001011, packet = 8b1a0 at time 38ns
src_pe =           6, dst_pe =          10, direction = 00,  hop count = 000001, packet = 016a0 at time 38ns
src_pe =          10, dst_pe =           9, direction = 00,  hop count = 001000, packet = 08a90 at time 38ns
src_pe =          14, dst_pe =           9, direction = 01,  hop count = 001001, packet = 49e90 at time 38ns
src_pe =           8, dst_pe =          10, direction = 10,  hop count = 011000, packet = 988a0 at time 40ns
src_pe =          12, dst_pe =           9, direction = 11,  hop count = 001001, packet = c9c90 at time 40ns
src_pe =           0, dst_pe =          10, direction = 10,  hop count = 011011, packet = 9b0a0 at time 40ns
src_pe =          11, dst_pe =           9, direction = 00,  hop count = 011000, packet = 18b90 at time 40ns
src_pe =          15, dst_pe =           9, direction = 01,  hop count = 011001, packet = 59f90 at time 40ns
src_pe =           5, dst_pe =          11, direction = 10,  hop count = 011001, packet = 995b0 at time 40ns
src_pe =           2, dst_pe =          11, direction = 10,  hop count = 001011, packet = 8b2b0 at time 42ns
src_pe =           7, dst_pe =          10, direction = 00,  hop count = 001001, packet = 097a0 at time 42ns
src_pe =           4, dst_pe =          10, direction = 10,  hop count = 011001, packet = 994a0 at time 42ns
src_pe =           9, dst_pe =          11, direction = 10,  hop count = 011000, packet = 989b0 at time 42ns
src_pe =          13, dst_pe =          10, direction = 11,  hop count = 001001, packet = c9da0 at time 42ns
src_pe =           3, dst_pe =          10, direction = 00,  hop count = 001011, packet = 0b3a0 at time 42ns
src_pe =           1, dst_pe =          11, direction = 10,  hop count = 011011, packet = 9b1b0 at time 42ns
src_pe =          10, dst_pe =          11, direction = 10,  hop count = 001000, packet = 88ab0 at time 42ns
src_pe =          14, dst_pe =          10, direction = 01,  hop count = 000001, packet = 41ea0 at time 42ns
src_pe =           6, dst_pe =          11, direction = 10,  hop count = 001001, packet = 896b0 at time 44ns
src_pe =          12, dst_pe =          10, direction = 11,  hop count = 011001, packet = d9ca0 at time 44ns
src_pe =           0, dst_pe =          11, direction = 10,  hop count = 111011, packet = bb0b0 at time 44ns
src_pe =          11, dst_pe =          10, direction = 00,  hop count = 001000, packet = 08ba0 at time 44ns
src_pe =          15, dst_pe =          10, direction = 01,  hop count = 001001, packet = 49fa0 at time 44ns
src_pe =           5, dst_pe =          12, direction = 00,  hop count = 001011, packet = 0b5c0 at time 44ns
src_pe =           8, dst_pe =          11, direction = 10,  hop count = 111000, packet = b88b0 at time 46ns
src_pe =           2, dst_pe =          12, direction = 00,  hop count = 011111, packet = 1f2c0 at time 46ns
src_pe =           4, dst_pe =          11, direction = 10,  hop count = 111001, packet = b94b0 at time 46ns
src_pe =           9, dst_pe =          12, direction = 00,  hop count = 001001, packet = 099c0 at time 46ns
src_pe =          13, dst_pe =          11, direction = 11,  hop count = 011001, packet = d9db0 at time 46ns
src_pe =           1, dst_pe =          12, direction = 00,  hop count = 001111, packet = 0f1c0 at time 46ns
src_pe =           3, dst_pe =          11, direction = 00,  hop count = 000011, packet = 033b0 at time 48ns
src_pe =           7, dst_pe =          11, direction = 00,  hop count = 000001, packet = 017b0 at time 48ns
src_pe =           6, dst_pe =          12, direction = 00,  hop count = 011011, packet = 1b6c0 at time 48ns
src_pe =          12, dst_pe =          11, direction = 11,  hop count = 111001, packet = f9cb0 at time 48ns
src_pe =           0, dst_pe =          12, direction = 00,  hop count = 000111, packet = 070c0 at time 50ns
src_pe =          11, dst_pe =          12, direction = 00,  hop count = 111001, packet = 39bc0 at time 50ns
src_pe =          15, dst_pe =          11, direction = 01,  hop count = 000001, packet = 41fb0 at time 50ns
src_pe =           5, dst_pe =          13, direction = 00,  hop count = 000011, packet = 035d0 at time 50ns
src_pe =          10, dst_pe =          12, direction = 00,  hop count = 011001, packet = 19ac0 at time 50ns
src_pe =          14, dst_pe =          11, direction = 11,  hop count = 001001, packet = c9eb0 at time 50ns
src_pe =           2, dst_pe =          13, direction = 00,  hop count = 001111, packet = 0f2d0 at time 50ns
src_pe =          13, dst_pe =          12, direction = 00,  hop count = 001000, packet = 08dc0 at time 50ns
src_pe =           4, dst_pe =          12, direction = 00,  hop count = 000011, packet = 034c0 at time 52ns
src_pe =           9, dst_pe =          13, direction = 00,  hop count = 000001, packet = 019d0 at time 52ns
src_pe =           8, dst_pe =          12, direction = 00,  hop count = 000001, packet = 018c0 at time 52ns
src_pe =           6, dst_pe =          13, direction = 00,  hop count = 001011, packet = 0b6d0 at time 52ns
src_pe =          12, dst_pe =          13, direction = 10,  hop count = 001000, packet = 88cd0 at time 54ns
src_pe =           3, dst_pe =          12, direction = 00,  hop count = 111111, packet = 3f3c0 at time 54ns
src_pe =           7, dst_pe =          12, direction = 00,  hop count = 111011, packet = 3b7c0 at time 54ns
src_pe =           1, dst_pe =          13, direction = 00,  hop count = 000111, packet = 071d0 at time 54ns
src_pe =           2, dst_pe =          14, direction = 00,  hop count = 000111, packet = 072e0 at time 54ns
src_pe =           5, dst_pe =          14, direction = 10,  hop count = 001011, packet = 8b5e0 at time 54ns
src_pe =          10, dst_pe =          13, direction = 00,  hop count = 001001, packet = 09ad0 at time 54ns
src_pe =          14, dst_pe =          12, direction = 00,  hop count = 011000, packet = 18ec0 at time 54ns
src_pe =           0, dst_pe =          13, direction = 10,  hop count = 001111, packet = 8f0d0 at time 56ns
src_pe =          11, dst_pe =          13, direction = 00,  hop count = 011001, packet = 19bd0 at time 56ns
src_pe =          15, dst_pe =          12, direction = 00,  hop count = 111000, packet = 38fc0 at time 56ns
src_pe =           9, dst_pe =          14, direction = 10,  hop count = 001001, packet = 899e0 at time 56ns
src_pe =           6, dst_pe =          14, direction = 00,  hop count = 000011, packet = 036e0 at time 56ns
src_pe =           4, dst_pe =          13, direction = 10,  hop count = 001011, packet = 8b4d0 at time 58ns
src_pe =           8, dst_pe =          13, direction = 10,  hop count = 001001, packet = 898d0 at time 58ns
src_pe =          13, dst_pe =          14, direction = 10,  hop count = 001000, packet = 88de0 at time 58ns
src_pe =          10, dst_pe =          14, direction = 00,  hop count = 000001, packet = 01ae0 at time 58ns
src_pe =           3, dst_pe =          13, direction = 00,  hop count = 011111, packet = 1f3d0 at time 58ns
src_pe =           7, dst_pe =          13, direction = 00,  hop count = 011011, packet = 1b7d0 at time 58ns
src_pe =           1, dst_pe =          14, direction = 10,  hop count = 001111, packet = 8f1e0 at time 58ns
src_pe =           5, dst_pe =          15, direction = 10,  hop count = 011011, packet = 9b5f0 at time 58ns
src_pe =          14, dst_pe =          13, direction = 00,  hop count = 001000, packet = 08ed0 at time 58ns
src_pe =          12, dst_pe =          14, direction = 10,  hop count = 011000, packet = 98ce0 at time 60ns
src_pe =           0, dst_pe =          14, direction = 10,  hop count = 011111, packet = 9f0e0 at time 60ns
src_pe =          15, dst_pe =          13, direction = 00,  hop count = 011000, packet = 18fd0 at time 60ns
src_pe =           9, dst_pe =          15, direction = 10,  hop count = 011001, packet = 999f0 at time 60ns
src_pe =           6, dst_pe =          15, direction = 10,  hop count = 001011, packet = 8b6f0 at time 62ns
src_pe =          11, dst_pe =          14, direction = 00,  hop count = 001001, packet = 09be0 at time 62ns
src_pe =           4, dst_pe =          14, direction = 10,  hop count = 011011, packet = 9b4e0 at time 62ns
src_pe =           8, dst_pe =          14, direction = 10,  hop count = 011001, packet = 998e0 at time 62ns
src_pe =          13, dst_pe =          15, direction = 10,  hop count = 011000, packet = 98df0 at time 62ns
src_pe =           3, dst_pe =          14, direction = 00,  hop count = 001111, packet = 0f3e0 at time 62ns
src_pe =           7, dst_pe =          14, direction = 00,  hop count = 001011, packet = 0b7e0 at time 62ns
src_pe =           1, dst_pe =          15, direction = 10,  hop count = 011111, packet = 9f1f0 at time 62ns
src_pe =           5, dst_pe =           0, direction = 01,  hop count = 001001, packet = 49501 at time 62ns
src_pe =          14, dst_pe =          15, direction = 10,  hop count = 001000, packet = 88ef0 at time 62ns
src_pe =           2, dst_pe =          15, direction = 10,  hop count = 001111, packet = 8f2f0 at time 64ns
src_pe =           0, dst_pe =          15, direction = 10,  hop count = 111111, packet = bf0f0 at time 64ns
src_pe =          15, dst_pe =          14, direction = 00,  hop count = 001000, packet = 08fe0 at time 64ns
src_pe =           9, dst_pe =           0, direction = 01,  hop count = 001011, packet = 4b901 at time 64ns
src_pe =          12, dst_pe =          15, direction = 10,  hop count = 111000, packet = b8cf0 at time 66ns
src_pe =          10, dst_pe =          15, direction = 10,  hop count = 001001, packet = 89af0 at time 66ns
src_pe =           6, dst_pe =           0, direction = 01,  hop count = 011001, packet = 59601 at time 66ns
src_pe =           4, dst_pe =          15, direction = 10,  hop count = 111011, packet = bb4f0 at time 66ns
src_pe =           8, dst_pe =          15, direction = 10,  hop count = 111001, packet = b98f0 at time 66ns
src_pe =          13, dst_pe =           0, direction = 01,  hop count = 001111, packet = 4fd01 at time 66ns
src_pe =           1, dst_pe =           0, direction = 00,  hop count = 001000, packet = 08101 at time 66ns
src_pe =           3, dst_pe =          15, direction = 00,  hop count = 000111, packet = 073f0 at time 68ns
src_pe =           7, dst_pe =          15, direction = 00,  hop count = 000011, packet = 037f0 at time 68ns
src_pe =          11, dst_pe =          15, direction = 00,  hop count = 000001, packet = 01bf0 at time 68ns
src_pe =           2, dst_pe =           0, direction = 00,  hop count = 011000, packet = 18201 at time 68ns
src_pe =           0, dst_pe =           1, direction = 10,  hop count = 001000, packet = 88011 at time 70ns
src_pe =          15, dst_pe =           0, direction = 01,  hop count = 111111, packet = 7ff01 at time 70ns
src_pe =           9, dst_pe =           1, direction = 01,  hop count = 000011, packet = 43911 at time 70ns
src_pe =           5, dst_pe =           1, direction = 01,  hop count = 000001, packet = 41511 at time 70ns
src_pe =          14, dst_pe =           0, direction = 01,  hop count = 011111, packet = 5fe01 at time 70ns
src_pe =          10, dst_pe =           0, direction = 01,  hop count = 011011, packet = 5ba01 at time 70ns
src_pe =           6, dst_pe =           1, direction = 01,  hop count = 001001, packet = 49611 at time 70ns
src_pe =           4, dst_pe =           0, direction = 01,  hop count = 000001, packet = 41401 at time 72ns
src_pe =           8, dst_pe =           0, direction = 01,  hop count = 000011, packet = 43801 at time 72ns
src_pe =          12, dst_pe =           0, direction = 01,  hop count = 000111, packet = 47c01 at time 72ns
src_pe =           2, dst_pe =           1, direction = 00,  hop count = 001000, packet = 08211 at time 72ns
src_pe =           3, dst_pe =           0, direction = 00,  hop count = 111000, packet = 38301 at time 74ns
src_pe =           7, dst_pe =           0, direction = 01,  hop count = 111001, packet = 79701 at time 74ns
src_pe =          11, dst_pe =           0, direction = 01,  hop count = 111011, packet = 7bb01 at time 74ns
src_pe =           1, dst_pe =           2, direction = 10,  hop count = 001000, packet = 88121 at time 74ns
src_pe =           9, dst_pe =           2, direction = 11,  hop count = 001011, packet = cb921 at time 74ns
src_pe =           5, dst_pe =           2, direction = 11,  hop count = 001001, packet = c9521 at time 74ns
src_pe =          14, dst_pe =           1, direction = 01,  hop count = 001111, packet = 4fe11 at time 74ns
src_pe =          10, dst_pe =           1, direction = 01,  hop count = 001011, packet = 4ba11 at time 74ns
src_pe =           6, dst_pe =           2, direction = 01,  hop count = 000001, packet = 41621 at time 74ns
src_pe =           0, dst_pe =           2, direction = 10,  hop count = 011000, packet = 98021 at time 76ns
src_pe =          15, dst_pe =           1, direction = 01,  hop count = 011111, packet = 5ff11 at time 76ns
src_pe =          13, dst_pe =           1, direction = 01,  hop count = 000111, packet = 47d11 at time 76ns
src_pe =           2, dst_pe =           3, direction = 10,  hop count = 001000, packet = 88231 at time 76ns
src_pe =           4, dst_pe =           1, direction = 11,  hop count = 001001, packet = c9411 at time 78ns
src_pe =           8, dst_pe =           1, direction = 11,  hop count = 001011, packet = cb811 at time 78ns
src_pe =          12, dst_pe =           1, direction = 11,  hop count = 001111, packet = cfc11 at time 78ns
src_pe =          10, dst_pe =           2, direction = 01,  hop count = 000011, packet = 43a21 at time 78ns
src_pe =           3, dst_pe =           1, direction = 00,  hop count = 011000, packet = 18311 at time 78ns
src_pe =           7, dst_pe =           1, direction = 01,  hop count = 011001, packet = 59711 at time 78ns
src_pe =          11, dst_pe =           1, direction = 01,  hop count = 011011, packet = 5bb11 at time 78ns
src_pe =           1, dst_pe =           3, direction = 10,  hop count = 011000, packet = 98131 at time 78ns
src_pe =           9, dst_pe =           3, direction = 11,  hop count = 011011, packet = db931 at time 78ns
src_pe =           5, dst_pe =           3, direction = 11,  hop count = 011001, packet = d9531 at time 78ns
src_pe =          13, dst_pe =           2, direction = 11,  hop count = 001111, packet = cfd21 at time 80ns
src_pe =           0, dst_pe =           3, direction = 10,  hop count = 111000, packet = b8031 at time 82ns
src_pe =          15, dst_pe =           2, direction = 01,  hop count = 001111, packet = 4ff21 at time 82ns
src_pe =           6, dst_pe =           3, direction = 11,  hop count = 001001, packet = c9631 at time 82ns
src_pe =           4, dst_pe =           2, direction = 11,  hop count = 011001, packet = d9421 at time 82ns
src_pe =           8, dst_pe =           2, direction = 11,  hop count = 011011, packet = db821 at time 82ns
src_pe =          12, dst_pe =           2, direction = 11,  hop count = 011111, packet = dfc21 at time 82ns
src_pe =           3, dst_pe =           2, direction = 00,  hop count = 001000, packet = 08321 at time 82ns
src_pe =           7, dst_pe =           2, direction = 01,  hop count = 001001, packet = 49721 at time 82ns
src_pe =          11, dst_pe =           2, direction = 01,  hop count = 001011, packet = 4bb21 at time 82ns
src_pe =           1, dst_pe =           4, direction = 00,  hop count = 001001, packet = 09141 at time 82ns
src_pe =           9, dst_pe =           4, direction = 01,  hop count = 001001, packet = 49941 at time 82ns
src_pe =           5, dst_pe =           4, direction = 00,  hop count = 001000, packet = 08541 at time 82ns
src_pe =          13, dst_pe =           3, direction = 11,  hop count = 011111, packet = dfd31 at time 84ns
src_pe =          10, dst_pe =           3, direction = 11,  hop count = 001011, packet = cba31 at time 86ns
src_pe =           6, dst_pe =           4, direction = 00,  hop count = 011000, packet = 18641 at time 86ns
src_pe =           4, dst_pe =           3, direction = 11,  hop count = 111001, packet = f9431 at time 86ns
src_pe =           8, dst_pe =           3, direction = 11,  hop count = 111011, packet = fb831 at time 86ns
